,Key,Value
408,"('SGP', '50PLUS', 'Volt')",0
409,"('SGP', '50PLUS', 'CU')",0
410,"('SGP', '50PLUS', 'JA21')",0
411,"('SGP', '50PLUS', 'VVD')",0
412,"('SGP', 'PvdD', 'BBB')",0
413,"('SGP', 'PvdD', 'Volt')",0
414,"('SGP', 'PvdD', 'CU')",0
415,"('SGP', 'PvdD', 'JA21')",0
416,"('SGP', 'PvdD', 'VVD')",0
417,"('SGP', 'BBB', 'Volt')",0
418,"('SGP', 'BBB', 'CU')",2
419,"('SGP', 'BBB', 'JA21')",2
420,"('SGP', 'BBB', 'VVD')",12
421,"('SGP', 'Volt', 'CU')",0
422,"('SGP', 'Volt', 'JA21')",0
423,"('SGP', 'Volt', 'VVD')",0
424,"('SGP', 'CU', 'JA21')",0
425,"('SGP', 'CU', 'VVD')",2
426,"('SGP', 'JA21', 'VVD')",2
427,"('D66', 'CDA', 'GL/PvdA')",28
428,"('D66', 'CDA', 'BIJ1')",0
429,"('D66', 'CDA', 'FvD')",0
430,"('D66', 'CDA', 'GL')",0
431,"('D66', 'CDA', 'PVV')",0
432,"('D66', 'CDA', 'Denk')",2
433,"('D66', 'CDA', 'SP')",2
434,"('D66', 'CDA', '50PLUS')",0
435,"('D66', 'CDA', 'PvdD')",1
436,"('D66', 'CDA', 'BBB')",12
437,"('D66', 'CDA', 'Volt')",3
438,"('D66', 'CDA', 'CU')",8
439,"('D66', 'CDA', 'JA21')",0
440,"('D66', 'CDA', 'VVD')",26
441,"('D66', 'GL/PvdA', 'BIJ1')",0
442,"('D66', 'GL/PvdA', 'FvD')",0
443,"('D66', 'GL/PvdA', 'GL')",0
444,"('D66', 'GL/PvdA', 'PVV')",0
445,"('D66', 'GL/PvdA', 'Denk')",2
446,"('D66', 'GL/PvdA', 'SP')",3
447,"('D66', 'GL/PvdA', '50PLUS')",0
448,"('D66', 'GL/PvdA', 'PvdD')",1
449,"('D66', 'GL/PvdA', 'BBB')",16
450,"('D66', 'GL/PvdA', 'Volt')",3
451,"('D66', 'GL/PvdA', 'CU')",9
452,"('D66', 'GL/PvdA', 'JA21')",0
453,"('D66', 'GL/PvdA', 'VVD')",32
454,"('D66', 'BIJ1', 'FvD')",0
455,"('D66', 'BIJ1', 'GL')",0
456,"('D66', 'BIJ1', 'PVV')",0
457,"('D66', 'BIJ1', 'Denk')",0
458,"('D66', 'BIJ1', 'SP')",0
459,"('D66', 'BIJ1', '50PLUS')",0
460,"('D66', 'BIJ1', 'PvdD')",0
461,"('D66', 'BIJ1', 'BBB')",0
462,"('D66', 'BIJ1', 'Volt')",0
463,"('D66', 'BIJ1', 'CU')",0
464,"('D66', 'BIJ1', 'JA21')",0
465,"('D66', 'BIJ1', 'VVD')",0
466,"('D66', 'FvD', 'GL')",0
467,"('D66', 'FvD', 'PVV')",0
468,"('D66', 'FvD', 'Denk')",0
469,"('D66', 'FvD', 'SP')",0
470,"('D66', 'FvD', '50PLUS')",0
471,"('D66', 'FvD', 'PvdD')",0
472,"('D66', 'FvD', 'BBB')",0
473,"('D66', 'FvD', 'Volt')",0
474,"('D66', 'FvD', 'CU')",0
475,"('D66', 'FvD', 'JA21')",0
476,"('D66', 'FvD', 'VVD')",0
477,"('D66', 'GL', 'PVV')",0
478,"('D66', 'GL', 'Denk')",0
479,"('D66', 'GL', 'SP')",0
480,"('D66', 'GL', '50PLUS')",0
481,"('D66', 'GL', 'PvdD')",0
482,"('D66', 'GL', 'BBB')",0
483,"('D66', 'GL', 'Volt')",0
484,"('D66', 'GL', 'CU')",0
485,"('D66', 'GL', 'JA21')",0
486,"('D66', 'GL', 'VVD')",0
487,"('D66', 'PVV', 'Denk')",0
488,"('D66', 'PVV', 'SP')",0
489,"('D66', 'PVV', '50PLUS')",0
490,"('D66', 'PVV', 'PvdD')",0
491,"('D66', 'PVV', 'BBB')",0
492,"('D66', 'PVV', 'Volt')",0
493,"('D66', 'PVV', 'CU')",0
494,"('D66', 'PVV', 'JA21')",0
495,"('D66', 'PVV', 'VVD')",0
496,"('D66', 'Denk', 'SP')",1
497,"('D66', 'Denk', '50PLUS')",0
498,"('D66', 'Denk', 'PvdD')",1
499,"('D66', 'Denk', 'BBB')",0
500,"('D66', 'Denk', 'Volt')",0
501,"('D66', 'Denk', 'CU')",1
502,"('D66', 'Denk', 'JA21')",0
503,"('D66', 'Denk', 'VVD')",0
504,"('D66', 'SP', '50PLUS')",0
505,"('D66', 'SP', 'PvdD')",0
506,"('D66', 'SP', 'BBB')",1
507,"('D66', 'SP', 'Volt')",0
508,"('D66', 'SP', 'CU')",0
509,"('D66', 'SP', 'JA21')",0
510,"('D66', 'SP', 'VVD')",2
511,"('D66', '50PLUS', 'PvdD')",0
512,"('D66', '50PLUS', 'BBB')",0
513,"('D66', '50PLUS', 'Volt')",0
514,"('D66', '50PLUS', 'CU')",0
515,"('D66', '50PLUS', 'JA21')",0
516,"('D66', '50PLUS', 'VVD')",0
517,"('D66', 'PvdD', 'BBB')",0
518,"('D66', 'PvdD', 'Volt')",0
519,"('D66', 'PvdD', 'CU')",1
520,"('D66', 'PvdD', 'JA21')",0
521,"('D66', 'PvdD', 'VVD')",0
522,"('D66', 'BBB', 'Volt')",1
523,"('D66', 'BBB', 'CU')",1
524,"('D66', 'BBB', 'JA21')",0
525,"('D66', 'BBB', 'VVD')",16
526,"('D66', 'Volt', 'CU')",0
527,"('D66', 'Volt', 'JA21')",0
528,"('D66', 'Volt', 'VVD')",3
529,"('D66', 'CU', 'JA21')",0
530,"('D66', 'CU', 'VVD')",8
531,"('D66', 'JA21', 'VVD')",0
532,"('CDA', 'GL/PvdA', 'BIJ1')",0
533,"('CDA', 'GL/PvdA', 'FvD')",0
534,"('CDA', 'GL/PvdA', 'GL')",0
535,"('CDA', 'GL/PvdA', 'PVV')",0
536,"('CDA', 'GL/PvdA', 'Denk')",2
537,"('CDA', 'GL/PvdA', 'SP')",2
538,"('CDA', 'GL/PvdA', '50PLUS')",0
539,"('CDA', 'GL/PvdA', 'PvdD')",1
540,"('CDA', 'GL/PvdA', 'BBB')",22
541,"('CDA', 'GL/PvdA', 'Volt')",3
542,"('CDA', 'GL/PvdA', 'CU')",8
543,"('CDA', 'GL/PvdA', 'JA21')",0
544,"('CDA', 'GL/PvdA', 'VVD')",40
545,"('CDA', 'BIJ1', 'FvD')",0
546,"('CDA', 'BIJ1', 'GL')",0
547,"('CDA', 'BIJ1', 'PVV')",0
548,"('CDA', 'BIJ1', 'Denk')",0
549,"('CDA', 'BIJ1', 'SP')",0
550,"('CDA', 'BIJ1', '50PLUS')",0
551,"('CDA', 'BIJ1', 'PvdD')",0
552,"('CDA', 'BIJ1', 'BBB')",0
