,Key,Value
3291,"('NSC', 'PVV', '50PLUS', 'JA21')",41.68576338837509
652,"('NSC', 'FvD', '50PLUS')",41.70411320385973
292,"('CU', 'SGP', 'VVD')",41.754640348800145
2535,"('BBB', 'FvD', 'PVV', 'SGP')",41.78473279323744
619,"('GL/PvdA', '50PLUS', 'Denk')",41.82214254390355
3824,"('FvD', 'SGP', 'JA21', 'CDA')",41.84135693108687
96,"('PvdD', 'D66')",41.844951743123865
291,"('CU', 'GL', 'Denk')",41.84575492579385
423,"('SP', '50PLUS', 'Denk')",41.895387966609626
3285,"('NSC', 'PVV', 'SGP', 'CDA')",41.93304050373091
738,"('PvdD', 'D66', 'Denk')",41.97799160165933
855,"('FvD', 'SGP', 'CDA')",42.03917546929092
937,"('PVV', 'SGP', 'VVD')",42.05972733951623
971,"('SGP', '50PLUS', 'JA21')",42.23567283698452
145,"('PVV', 'VVD')",42.23970621592931
943,"('PVV', 'VVD', 'JA21')",42.321108844226025
678,"('NSC', 'PVV', 'CDA')",42.5427396170071
1367,"('CU', 'NSC', 'SGP', '50PLUS')",42.6432330559766
1548,"('CU', 'Volt', 'D66', 'GL')",42.68695132819032
2033,"('SP', 'BIJ1', 'D66', 'Denk')",42.68991543149927
214,"('CU', 'GL/PvdA', 'CDA')",42.740494463870405
1130,"('CU', 'BBB', 'NSC', '50PLUS')",42.79142560271915
983,"('50PLUS', 'JA21', 'CDA')",42.85710556172459
2946,"('GL/PvdA', 'Volt', 'GL', 'Denk')",43.008018532792455
2550,"('BBB', 'FvD', 'SGP', 'CDA')",43.06837399900233
1652,"('CU', 'SGP', '50PLUS', 'CDA')",43.10281069368668
4032,"('SGP', 'VVD', '50PLUS', 'JA21')",43.10545575982955
278,"('CU', 'D66', 'Denk')",43.16167820626862
2632,"('BBB', 'PVV', 'SGP', 'VVD')",43.17915377067428
591,"('GL/PvdA', 'D66', '50PLUS')",43.22465110359171
793,"('BIJ1', 'D66', 'Denk')",43.23747101222041
703,"('PvdD', 'BIJ1', 'D66')",43.243773827241775
363,"('SP', 'BIJ1', 'D66')",43.42983609242121
3283,"('NSC', 'PVV', 'SGP', '50PLUS')",43.43170563152342
200,"('CU', 'BBB', 'CDA')",43.50149183846756
3185,"('NSC', 'FvD', 'PVV', 'SGP')",43.52034707761488
1009,"('CU', 'SP', 'GL/PvdA', 'GL')",43.56478570580417
124,"('FvD', 'CDA')",43.696964721199244
206,"('CU', 'GL/PvdA', 'Volt')",43.73297812578255
3849,"('Volt', 'D66', 'GL', 'Denk')",43.814916836439984
1595,"('CU', 'D66', 'GL', 'Denk')",43.84491783852271
2852,"('GL/PvdA', 'BIJ1', 'D66', 'Denk')",43.85105467197242
1799,"('SP', 'GL/PvdA', 'BIJ1', 'D66')",43.97880185813119
212,"('CU', 'GL/PvdA', '50PLUS')",44.03997301769416
3993,"('PVV', 'SGP', 'VVD', 'JA21')",44.17664170845536
3358,"('PvdD', 'BIJ1', 'D66', 'Denk')",44.204899974650964
3793,"('FvD', 'PVV', 'VVD', 'JA21')",44.43141971157151
938,"('PVV', 'SGP', '50PLUS')",44.435212531977065
2554,"('BBB', 'FvD', 'VVD', 'CDA')",44.468808965856354
604,"('GL/PvdA', 'GL', '50PLUS')",44.530404782987844
3819,"('FvD', 'SGP', 'VVD', 'CDA')",44.534689134213366
1260,"('CU', 'GL/PvdA', 'Volt', 'GL')",44.66078590090802
30,"('CU', 'VVD')",44.66608898902921
1200,"('CU', 'BBB', 'SGP', 'CDA')",44.66919018187637
293,"('CU', 'SGP', '50PLUS')",44.75480616657149
47,"('SP', '50PLUS')",44.880487028863236
4042,"('VVD', '50PLUS', 'JA21', 'CDA')",45.06305817050826
2933,"('GL/PvdA', 'Volt', 'D66', 'Denk')",45.07659467128713
1129,"('CU', 'BBB', 'NSC', 'VVD')",45.07922800681889
122,"('FvD', '50PLUS')",45.08210615489408
3287,"('NSC', 'PVV', 'VVD', '50PLUS')",45.297611517741636
1820,"('SP', 'GL/PvdA', 'Volt', 'GL')",45.36251408339505
3830,"('FvD', 'VVD', 'JA21', 'CDA')",45.38336823252685
3292,"('NSC', 'PVV', '50PLUS', 'CDA')",45.38544892795925
2537,"('BBB', 'FvD', 'PVV', '50PLUS')",45.38618291389239
4038,"('SGP', '50PLUS', 'JA21', 'CDA')",45.391505599103084
1378,"('CU', 'NSC', 'JA21', 'CDA')",45.55905651941439
3294,"('NSC', 'PVV', 'JA21', 'CDA')",45.61016337609829
2633,"('BBB', 'PVV', 'SGP', '50PLUS')",45.68743620842252
2971,"('GL/PvdA', 'D66', 'GL', '50PLUS')",45.690123607162356
2536,"('BBB', 'FvD', 'PVV', 'VVD')",45.74484084420583
2637,"('BBB', 'PVV', 'VVD', '50PLUS')",45.77708552935611
3022,"('GL/PvdA', 'GL', '50PLUS', 'Denk')",45.79392671101166
275,"('CU', 'D66', '50PLUS')",45.817358735720894
19,"('CU', 'BBB')",45.906936575947
2762,"('GL/PvdA', 'PvdD', 'BIJ1', 'D66')",46.035388730802694
78,"('GL/PvdA', 'CDA')",46.1800170966413
963,"('GL', '50PLUS', 'Denk')",46.19001150792533
1371,"('CU', 'NSC', 'VVD', '50PLUS')",46.20746806408364
2644,"('BBB', 'PVV', 'JA21', 'CDA')",46.369047746258076
2552,"('BBB', 'FvD', 'VVD', '50PLUS')",46.37005539516216
940,"('PVV', 'SGP', 'CDA')",46.383997484678076
172,"('CU', 'SP', 'GL/PvdA')",46.386093704890015
1131,"('CU', 'BBB', 'NSC', 'JA21')",46.40146102386469
1368,"('CU', 'NSC', 'SGP', 'JA21')",46.45721241949279
3202,"('NSC', 'FvD', 'VVD', '50PLUS')",46.926262044213786
84,"('NSC', 'D66')",47.134639633359996
196,"('CU', 'BBB', 'SGP')",47.18770413062587
2783,"('GL/PvdA', 'PvdD', 'Volt', 'GL')",47.20976742734825
3796,"('FvD', 'PVV', '50PLUS', 'JA21')",47.21155424826877
3198,"('NSC', 'FvD', 'SGP', '50PLUS')",47.21967446669967
220,"('CU', 'NSC', 'D66')",47.25245260135965
3289,"('NSC', 'PVV', 'VVD', 'CDA')",47.269050344573714
887,"('Volt', 'GL', 'Denk')",47.388039308164544
874,"('Volt', 'D66', 'Denk')",47.45544404466872
859,"('FvD', 'VVD', 'CDA')",47.48774948609372
198,"('CU', 'BBB', '50PLUS')",47.50211508135632
1859,"('SP', 'GL/PvdA', '50PLUS', 'Denk')",47.54374170996179
842,"('FvD', 'PVV', '50PLUS')",47.63033765230282
3207,"('NSC', 'FvD', '50PLUS', 'CDA')",47.675393376899905
942,"('PVV', 'VVD', '50PLUS')",47.73960015267542
2838,"('GL/PvdA', 'BIJ1', 'Volt', 'GL')",47.769926076930204
1015,"('CU', 'SP', 'GL/PvdA', 'Denk')",47.80423821305192
671,"('NSC', 'D66', 'CDA')",47.813617478113215
226,"('CU', 'NSC', 'JA21')",47.851229422492416
509,"('BBB', 'PVV', 'CDA')",47.92742865454671
152,"('GL', '50PLUS')",48.07702467127019
927,"('D66', '50PLUS', 'Denk')",48.14825796709564
1207,"('CU', 'BBB', '50PLUS', 'CDA')",48.16881217978594
1658,"('CU', 'VVD', '50PLUS', 'CDA')",48.28641635207476
2635,"('BBB', 'PVV', 'SGP', 'CDA')",48.317274782265415
264,"('CU', 'Volt', 'GL')",48.36667158320919
2548,"('BBB', 'FvD', 'SGP', '50PLUS')",48.43972438293271
1273,"('CU', 'GL/PvdA', 'D66', 'CDA')",48.51724000663603
303,"('CU', '50PLUS', 'Denk')",48.547738260701244
1271,"('CU', 'GL/PvdA', 'D66', '50PLUS')",48.6479957083086
1351,"('CU', 'NSC', 'D66', 'CDA')",48.805903640545786
779,"('BIJ1', 'Volt', 'GL')",48.92997353610389
2986,"('GL/PvdA', 'D66', '50PLUS', 'Denk')",49.018413638456956
2108,"('SP', 'Volt', 'D66', 'GL')",49.025034236448505
1007,"('CU', 'SP', 'GL/PvdA', 'D66')",49.12038583847231
3187,"('NSC', 'FvD', 'PVV', '50PLUS')",49.15479297779933
202,"('CU', 'GL/PvdA', 'NSC')",49.22368704905016
3186,"('NSC', 'FvD', 'PVV', 'VVD')",49.256711693867906
2203,"('SP', 'GL', '50PLUS', 'Denk')",49.33516024993156
593,"('GL/PvdA', 'D66', 'CDA')",49.364495326650655
1091,"('CU', 'SP', 'GL', 'Denk')",49.36455908564952
3598,"('BIJ1', 'Volt', 'D66', 'GL')",49.39687205204103
3821,"('FvD', 'SGP', '50PLUS', 'JA21')",49.60647952371868
3827,"('FvD', 'VVD', '50PLUS', 'JA21')",49.6783868705341
2642,"('BBB', 'PVV', '50PLUS', 'CDA')",49.736687426964245
3996,"('PVV', 'SGP', '50PLUS', 'JA21')",49.82371661321428
912,"('D66', 'GL', '50PLUS')",49.844204070690175
1204,"('CU', 'BBB', 'VVD', 'CDA')",49.92727257932335
3994,"('PVV', 'SGP', 'VVD', 'CDA')",49.92911506013584
841,"('FvD', 'PVV', 'VVD')",49.944600592782386
2003,"('SP', 'PvdD', '50PLUS', 'Denk')",49.98700557780965
1654,"('CU', 'SGP', 'JA21', 'CDA')",50.05010535346781
586,"('GL/PvdA', 'Volt', 'Denk')",50.050447579112344
332,"('SP', 'GL/PvdA', '50PLUS')",50.05837526004428
3999,"('PVV', 'SGP', 'JA21', 'CDA')",50.05978297835574
947,"('PVV', '50PLUS', 'CDA')",50.13604582126017
1818,"('SP', 'GL/PvdA', 'Volt', 'D66')",50.15486891748494
131,"('Volt', '50PLUS')",50.28492566137109
138,"('D66', 'VVD')",50.311975981707604
148,"('PVV', 'CDA')",50.36404563197824
186,"('CU', 'SP', 'Denk')",50.38613761490859
